id,subject,chapter,topic,question,optionA,optionB,optionC,optionD,answer,explanation
"zoo_evo_001","Zoology","Evolution","Theories of evolution","Darwin’s theory failed to explain","Origin of variations","Struggle for existence","Natural selection","Survival of fittest","A","Darwin could not explain the source of heritable variations in organisms."

"zoo_end_001","Zoology","Endocrinology","Adrenal glands","Cushing’s syndrome is due to defect in","Adrenal cortex","Adrenal medulla","Pituitary gland","Thyroid gland","A","Excess cortisol secretion from adrenal cortex causes Cushing’s syndrome."

"zoo_chr_001","Zoology","Chordata","General features","Characteristic feature of chordates is","Notochord","Jointed appendages","Segmented body","Paired ganglia","A","Chordates are defined by the presence of a notochord at some developmental stage."

"zoo_int_001","Zoology","Integumentary System","Skin derivatives","Nails and hoofs are derivatives of","Epidermis","Dermis","Hypodermis","Endoderm","A","Nails, claws, and hoofs develop from the epidermal layer of skin."

"zoo_dis_001","Zoology","Diseases","Lymphatic disorders","Hodgkin’s disease is related to","Lymph glands","Liver","Kidney","Pancreas","A","Hodgkin’s disease is a cancer of lymphatic tissue causing enlarged lymph nodes."

"zoo_emb_001","Zoology","Embryology","Skin","Ridges and fingerprints are derived from","Dermis","Epidermis","Endoderm","Mesoderm","B","Fingerprints form from epidermal ridges during fetal development."

"zoo_dis_002","Zoology","Diseases","Cancer","Oral cancer due to smoking is caused by","Nicotine","Tar","Benzopyrene","Carbon monoxide","C","Benzopyrene, a carcinogen in tobacco smoke, induces oral cancer."

"zoo_orn_001","Zoology","Ornithology","Flightless birds","Kiwi, ostrich, and penguin share which character","Flightlessness","Long beak","Migratory habit","Webbed feet","A","All are flightless birds adapted differently for running or swimming."

"zoo_phy_005","Zoology","Physiology","Respiration","CO is poisonous to humans because","It reacts with O₂","It blocks cytochrome oxidase","It combines with hemoglobin","It affects alveoli","C","Carbon monoxide binds hemoglobin forming carboxyhemoglobin, preventing oxygen transport."

"zoo_emb_002","Zoology","Embryology","Organogenesis","Embryologist can presume future organs of embryo in","Gastrula","Blastula","Morula","Zygote","A","In gastrula, germ layers differentiate into future organs, showing organogenetic fate."

"zoo_emb_003","Zoology","Embryology","Developmental biology","Which cavity is formed during gastrulation","Blastocoel","Coelom","Archenteron","Amniotic cavity","C","Archenteron, the primitive gut cavity, forms during gastrulation."

"zoo_phy_006","Zoology","Physiology","Digestive enzymes","Zymogen cells of stomach produce","Pepsinogen","Pepsin","HCl","Mucus","A","Chief (zymogen) cells secrete inactive pepsinogen which converts to pepsin."

"zoo_phy_007","Zoology","Transplantation","Immunology","Organ transplantation within same species is called","Allograft","Autograft","Xenograft","Isograft","A","Allograft refers to transplantation between individuals of the same species but different genotype."

"zoo_phy_008","Zoology","Physiology","Blood formation","Formation of RBC in adult humans occurs in","Bone marrow","Liver","Spleen","Thymus","A","In adults, erythropoiesis occurs in red bone marrow of long bones and sternum."

"zoo_gen_001","Zoology","Genetics","Genetic engineering","Manipulation, advancement, and editing of genes for human benefit is called","Genetic engineering","Mutation","Gene flow","Recombination","A","Genetic engineering involves direct manipulation of genes using biotechnology for human welfare."

"phy_fluid_001","Physics","Properties of Matter","Capillarity","Capillary tubes A and B are dipped vertically in water, diameter of A is greater than B. For which tube is the rise maximum","Tube A","Tube B","Same in both","None","B","h is inversely proportional to radius. Smaller diameter B gives larger rise."
"phy_scm_002","Physics","Semiconductors","Doping","Antimony doped into pure Ge or Si gives which semiconductor","p-type","n-type","Intrinsic","Insulator","B","Sb is pentavalent, donates electrons, forming n-type material."
"phy_grv_001","Physics","Gravitation","Variation of g","At what depth is g equal to its value at height 10 km above Earth","5 km","10 km","20 km","40 km","C","Inside Earth g≈g(1−d/R), above Earth g≈g(1−2h/R). Set equal, d=2h=20 km."
"phy_kine_001","Physics","Kinematics","Train on bridge","A 150 m train crosses a 1.5 km bridge at 60 km/h. Time to cross completely","90 s","99 s","100 s","110 s","B","Distance 1500+150=1650 m. Speed 16.67 m/s. Time ≈1650/16.67≈99 s."
"phy_wav_002","Physics","Waves","Attenuation","A slab reduces intensity to 20 percent. Reduction after two such slabs","60 percent","80 percent","96 percent","4 percent","C","Fraction left after two slabs 0.2×0.2=0.04. Reduction 96 percent."
"phy_atm_001","Physics","Atomic Physics","Bohr model","Angular momentum in the 5th Bohr orbit is","ħ","2ħ","3ħ","5ħ","D","Ln=nħ. For n=5, L=5ħ."
"phy_opt_001","Physics","Optics","Spectacles","Near point is 40 cm. Power needed to read at 25 cm","+0.5 D","+1.5 D","+2.5 D","−1.5 D","B","P=1/0.25−1/0.40=4−2.5=+1.5 diopters."
"phy_fluid_002","Physics","Fluids","Buoyancy","A balloon weighs 300 N, volume 30 m³, air density 1.2 kg/m³. Upward force carrying the balloon is","30 N","53 N","60 N","300 N","B","Buoyant force ρgV≈1.2×9.8×30≈353 N. Net upthrust 353−300≈53 N."
"phy_mom_001","Physics","Momentum","Inelastic collision","Four trucks each mass m at rest are hit by a truck of mass 2m at 5 m/s. All stick. Combined velocity","1.0 m/s","1.67 m/s","2.0 m/s","3.0 m/s","B","v=total p/total m=(2m×5)/(6m)=5/3≈1.67 m/s."
"phy_elc_002","Physics","Magnetism","Tangent galvanometer","Tangent galvanometer constant depends on","Horizontal Earth’s field","Coil resistance","Cell EMF","Temperature only","A","K∝H and geometric factors. It varies with the horizontal component of Earth’s field."
"phy_elm_002","Physics","Electricity","Potentiometer","Balancing length 50 cm for 1.02 V. New balancing length 75 cm. New EMF","1.28 V","1.40 V","1.53 V","1.70 V","C","E∝L. E₂=1.02×75/50=1.53 V."
"phy_elm_003","Physics","Electricity","Galvanometer sensitivity","Two MC galvanometers A and B have same spring constant and area. A, 20 turns, 10 Ω. B, 10 turns, 4 Ω. Ratio of voltage sensitivities A:B","1:1","2:1","4:5","5:4","C","Voltage sensitivity ∝N/R. (20/10)/(10/4)=2/2.5=4/5."
"phy_rot_001","Physics","Rotation","Rolling kinematics","A disc rolls without slipping with v_cm=√2 m/s. Speed of point on rim at top","√2 m/s","2 m/s","2√2 m/s","4 m/s","C","At top point v_top=v_cm+ωR=2v_cm=2√2 m/s."
"phy_mod_002","Physics","Modern Physics","Photoelectric effect","Threshold wavelength for work function 2.8 eV","310 nm","443 nm","620 nm","700 nm","B","λ₀=hc/φ≈1240/2.8≈443 nm."
"phy_elc_004","Physics","Electrostatics","Polarization","Bending of a water jet toward a charged rod is due to","Surface tension","Viscosity","Polarization of water","Cohesion","C","Field induces alignment of water dipoles, causing attraction."
"phy_ac_001","Physics","AC Circuits","Capacitive reactance","R=10 kΩ series C=0.5 μF, I=1.5 mA, ω=100 rad/s. Vrms across capacitor","3 V","15 V","30 V","300 V","C","Xc=1/ωC=20000 Ω. Vc=I Xc=0.0015×20000=30 V."
"phy_shm_002","Physics","SHM","Max speed","Pendulum m=20 g, amplitude 5 cm, period 2 s. Maximum speed of bob","0.10 m/s","0.157 m/s","0.20 m/s","0.314 m/s","B","v_max=ωA=(2π/T)A=π×0.05≈0.157 m/s."
"phy_opt_002","Physics","Optics","Refraction","Critical angle for water–air is θ. Angular field at fish eye to view outside clearly","θ","90°−θ","2θ","180°−2θ","C","The cone of emergent rays has semi angle θ, full angle 2θ."
"phy_dyn_001","Physics","Dynamics","Friction on curve","Car on a level curve, r=30 m, μ=0.4, g=10 m/s². Maximum speed without skidding","8.0 m/s","10.0 m/s","10.95 m/s","12.0 m/s","C","v_max=√(μgr)=√(0.4×10×30)=√120≈10.95 m/s."

"chem_bond_001","Chemistry","Molecular Geometry","Bond angle","Which of the following has the maximum bond angle","CO2","CH4","NH3","H2O","A","CO2 is linear with 180 degrees. CH4 is 109.5 degrees, NH3 is about 107 degrees, H2O is about 104.5 degrees."
"chem_phy_001","Chemistry","Periodic Properties","Melting point","Which of the following has the lowest melting point","Helium","Neon","Argon","Xenon","A","Helium has the lowest melting point among the noble gases."
"chem_gas_001","Chemistry","Gaseous State","Molecular speeds","Hydrogen, helium, oxygen, and nitrogen at the same temperature, which has the maximum rms velocity","Hydrogen","Helium","Oxygen","Nitrogen","A","vrms is inversely proportional to the square root of molar mass. Hydrogen, M = 2 g mol^-1, is highest."
"chem_env_001","Chemistry","Environmental Chemistry","Air quality","Atmospheric pollution is measured in","ppm","atmospheres","molarity","decibel","A","Pollutant concentrations are usually reported in parts per million."
"chem_ng_001","Chemistry","Inert Gases","Reactivity","Only xenon forms stable chlorides because of its","Low ionization energy and large size","Highest electronegativity","Octet deficiency","Very small size","A","Xe has relatively low ionization energy and large size, allowing polarization and bonding with electronegative atoms."
"chem_gas_002","Chemistry","Gaseous State","Avogadro and counting","Four vessels 4 L, 3 L, 2 L, 1 L contain He, Cl2, CO2, NH3 at the same P and T. Ratio of number of atoms","2:3:3:2","4:3:2:1","1:2:3:4","3:2:2:3","A","Atoms ∝ volume × atoms per molecule. 4×1, 3×2, 2×3, 1×4 gives 4:6:6:4, or 2:3:3:2."
"chem_acid_001","Chemistry","Acid–Base","Buffer pH","40 mL of 0.5 M NH3 mixed with 20 mL of 0.1 M HCl. pKb = 4.74. The pH is","10.21","9.00","7.00","11.00","A","Moles NH3 = 0.02, HCl = 0.002, give NH4+ = 0.002 and NH3 = 0.018. pOH = 4.74 + log(0.002/0.018) ≈ 3.79, pH ≈ 10.21."
"chem_phy_002","Chemistry","Intermolecular Forces","Boiling point order","The correct order of boiling point is","H2O > HF > NH3 > CH4","HF > H2O > NH3 > CH4","NH3 > H2O > HF > CH4","CH4 > NH3 > HF > H2O","A","Water forms extensive hydrogen bonding networks, giving the highest boiling point, then HF, then NH3, then CH4."
"chem_titr_001","Chemistry","Titrations","Indicators","Indicator used in titration of a weak acid with a strong base","Phenolphthalein","Methyl orange","Methyl red","Bromothymol blue","A","The equivalence point is on the basic side, so phenolphthalein is suitable."
"chem_drug_001","Chemistry","Medicinal Chemistry","Anticancer","An anti-cancer compound is","Cisplatin","Chloroquine","Paracetamol","Urea","A","Cisplatin is a platinum chemotherapeutic agent."
"chem_cmplx_001","Chemistry","Coordination","Cyanide complexes","Excess KCN treated with CuSO4 gives","K3[Cu(CN)4]","CuCN","K[Cu(CN)2]","Cu2[Fe(CN)6]","A","Cu2+ forms a cuprous cyanide which, in excess CN−, gives the complex [Cu(CN)4]3−."
"chem_qual_001","Chemistry","Qualitative Analysis","Precipitates","Compound X gives a white precipitate with AgNO3 and also a white precipitate with H2SO4. X is","PbCl2","NaCl","HCl","BaCl2","A","PbCl2 supplies Cl− for AgCl with AgNO3 and gives PbSO4 with H2SO4."
"chem_env_002","Chemistry","Environmental Chemistry","Radiation","Radioactive pollutant in building materials that drew public attention","Radon","Tritium","Strontium-90","Iodine-131","A","Radon gas seeps from some building materials and can accumulate indoors."
"chem_bond_002","Chemistry","Molecular Polarity","Dipole moment","Dipole moment is maximum for","H2O","NH3","CO2","CH4","A","H2O has about 1.85 D, larger than NH3 at about 1.47 D. CO2 and CH4 are nonpolar."
"chem_water_001","Chemistry","Water Chemistry","Hardness","Which is not responsible for water hardness","NaCl","Ca2+","Mg2+","HCO3−","A","Hardness is due to Ca2+ and Mg2+ salts, not NaCl."
"chem_redox_001","Chemistry","Electrochemistry","Displacement","Zn displaces Cu because Zn has","Higher oxidation tendency","Higher reduction potential","Higher ionization energy","Lower activity","A","Zn is above Cu in the activity series and is more easily oxidized."
"chem_fuel_001","Chemistry","Industrial Chemistry","Fuels","Which has the highest knocking resistance","Isooctane","n-Heptane","Cyclohexane","Benzene","A","Isooctane defines the 100 point on the octane scale."
"chem_org_001","Chemistry","Organic Effects","Electronic effects","Effect in a double bond in the presence of an attacking reagent","Electromeric effect","Inductive effect","Resonance effect","Hyperconjugation","A","The electromeric effect is temporary electron shift across a multiple bond during attack."
"chem_base_001","Chemistry","Organic Chemistry","Basicity","Which is more basic","Methylamine","Aniline","Ammonia","Phenol","A","Alkyl amines are more basic than ammonia and far more than aniline or phenol."
"chem_org_002","Chemistry","Organometallics","Grignard","Carbonyl chloride to acetone, use","CH3MgBr","C2H5MgBr","CH3Li only","RMgCl with phenyl","A","Two equivalents of CH3MgBr add to COCl2 to give acetone after workup."
"chem_poly_001","Chemistry","Polymers","Thermosets","Bakelite is formed by polymerization of","Phenol and formaldehyde","Urea and formaldehyde","Styrene","Methyl methacrylate","A","Bakelite is a phenol-formaldehyde thermosetting resin."
"chem_drug_002","Chemistry","Medicinal Chemistry","Anesthetics","An anesthetic agent is","Chloroform","Benzene","Ethanol","Acetone","A","Chloroform has been used as an anesthetic, though with safety concerns."
"chem_acid_002","Chemistry","Carbonyl Compounds","Acidity and tests","Which compound has more acidic hydrogen and how to distinguish benzophenone and acetophenone","Acetophenone, iodoform test","Benzophenone, Tollens test","Both same, Fehling test","Acetophenone, Lucas test","A","Acetophenone has a methyl ketone group with acidic α-hydrogens and gives the iodoform test; benzophenone does not."
"chem_ox_001","Chemistry","Alcohols","Oxidation","Initial product when a tertiary alcohol is treated with K2Cr2O7/H+","No reaction under mild conditions","Ketone","Aldehyde","Carboxylic acid","A","Tertiary alcohols resist oxidation without C–C bond cleavage, so no simple oxidation product forms."
"chem_phyprop_001","Chemistry","Physical Properties","Lipophilicity","Relative to phenol, which is more lipophilic","Anisole","Phenol","Benzoic acid","Phenylamine","A","Anisole lacks the phenolic OH hydrogen bonding, increasing hydrophobicity and lipophilicity compared to phenol."

"phy_vec_001","Physics","Vectors","Resultant perpendicular","Two forces F1 and F2 are inclined at angle θ. The resultant is perpendicular to F1. Find θ","θ = cos^-1(-F1/F2)","θ = cos^-1(F2/F1)","θ = sin^-1(F1/F2)","θ = tan^-1(F1/F2)","A","R·F1=0 gives F1^2+F1F2 cosθ=0, so cosθ=−F1/F2."
"phy_prj_001","Physics","Projectile Motion","Range relation","Range at 15° is 50 m. Find range at 45° at same speed","50 m","75 m","100 m","150 m","C","R∝sin2θ. At 15°, sin30=0.5, so u^2/g=100. At 45°, sin90=1, R=100 m."
"phy_prj_002","Physics","Projectile Motion","Find speed from R and H","Range 24 m and maximum height 8 m. Find the launch speed","14.0 m/s","15.7 m/s","18.0 m/s","20.0 m/s","B","tanθ=4/3, sinθ=4/5. From H= u^2 sin^2θ/(2g)=8, get u^2=25g, so u≈15.7 m/s for g=9.8."
"phy_int_001","Physics","Waves and Optics","Young’s experiment","Torch light used instead of monochromatic light in Young’s double slit","No stable fringes","Very sharp fringes","Much brighter fringes","Double fringe spacing","A","Incoherent broad spectrum washes out interference. White central region only at best."
"phy_dmp_001","Physics","SHM and Damping","Damped oscillations","In damping which quantity remains constant","Logarithmic decrement","Amplitude","Total energy","Natural frequency","A","The ratio of successive amplitudes is constant, so logarithmic decrement is constant."
"phy_opt_003","Physics","Optics","Lens power","Combined power of convex and concave is 4 D. Convex is 5 D. Focal length of concave","−0.50 m","−1.0 m","−1.5 m","−2.0 m","B","P_total=P1+P2. So P2=−1 D. f=1/P=−1 m."
"phy_scm_003","Physics","Semiconductors","Conduction","Conduction due to breaking of covalent bonds occurs by","Electrons only","Holes only","Electron–hole pairs","Ions","C","Thermal breaking creates electron–hole pairs in intrinsic semiconductors."
"phy_pe_001","Physics","Photoelectric Effect","Threshold wavelength","Work function φ=3.6×10^-19 J. Maximum wavelength for emission","414 nm","552 nm","620 nm","700 nm","B","λ=hc/φ≈(6.626×10^-34×3×10^8)/(3.6×10^-19)≈5.52×10^-7 m."
"phy_mag_001","Physics","Magnetism","Cyclotron radius","Electron enters B at right angle with radius R. If B halves and speed doubles, new radius","R","2R","3R","4R","D","r=mv/qB. With v→2v and B→B/2, r scales by 4."
"phy_thm_001","Physics","Thermodynamics","Carnot efficiency","Carnot engine between 100°C and 0°C. Efficiency","18.2%","26.9%","36.5%","50.0%","B","η=1−Tc/Th=1−273/373≈0.2686."
"phy_mom_002","Physics","Mechanics","Momentum vs KE","KE decreases by 19 percent. Momentum decreases by","8%","10%","12%","19%","B","p∝√KE. √0.81=0.9, so 10 percent drop."
"phy_atm_002","Physics","Atomic Physics","Bohr postulate","According to Bohr, which is quantized","Energy of photon","Angular momentum","Radius of nucleus","Charge","B","mvr=nħ is discrete."
"phy_mag_002","Physics","Geomagnetism","Dip circle","Dip circle perpendicular to magnetic meridian, apparent dip is","Zero","Equal to true dip","Ninety degrees","Doubles","A","In that orientation the needle shows zero dip."
"phy_elm_004","Physics","Electricity","Ammeter conversion","Moving coil galvanometer converted to ammeter by","High series resistance","Low shunt resistance","Changing magnet","Increasing turns","B","A low shunt bypasses most current."
"phy_gas_001","Physics","Thermal Physics","Charles law","Perfect gas at constant pressure, volume doubles from 27°C. Final temperature","127°C","227°C","300°C","327°C","D","T∝V at constant pressure. 300 K→600 K, so 327°C."
"phy_opt_004","Physics","Light","Illumination","X rays in a room cause which type of illumination","Direct","Diffused","Fluorescent","Specular","C","X rays induce fluorescence in suitable materials."
"phy_thm_002","Physics","Thermodynamics","First law","Adiabatic process with 90 J work done on system, change in internal energy","−90 J","+90 J","0 J","+180 J","B","q=0. ΔU=W_on=+90 J."
"phy_ind_001","Physics","Electromagnetism","Self inductance scaling","A coil of radius r has 600 turns and L=108 mH. Self inductance of similar coil with 500 turns","50 mH","60 mH","75 mH","90 mH","C","L∝N^2. L2=108×(500/600)^2≈75 mH."

"bot_misc_001","Botany","Plant Morphology","Common names","Which of the following is called vegetable chameleon","Bryophyllum","Boerhaavia","Selaginella","Alternanthera","D","Alternanthera is known as the vegetable chameleon because of its color-changing leaves."

"bot_gen_001","Botany","Genetics","Meiosis","Synapsis occurs in","Leptotene","Zygotene","Pachytene","Diplotene","B","Synapsis, the pairing of homologous chromosomes, occurs during zygotene of prophase I in meiosis."

"bot_cel_001","Botany","Cell Biology","Genetic material","Circular DNA is found in","Virus","Chloroplast and mitochondria","Nucleus","Cytoplasm only","B","Both mitochondria and chloroplasts contain circular DNA similar to bacterial DNA."

"bot_phy_001","Botany","Plant Anatomy","Support tissue","Stele with pith is found in","Monocot stem","Dicot stem","Dicot root","Monocot root","A","Monocot stems have a distinct pith surrounded by vascular bundles in a ringless arrangement."

"bot_flo_001","Botany","Floral Morphology","Stamens","Versatile stamens are found in","Lily","Pea","Sunflower","China rose","A","In lily, stamens are versatile as the anthers swing freely attached at the center."

"bot_ecol_001","Botany","Ecology","Adaptations","Zero-fighting succulent (xerophyte) plant is","Opuntia","Eichhornia","Hydrilla","Lemna","A","Opuntia is a xerophytic succulent adapted to arid conditions, conserving water efficiently."

"bot_phy_002","Botany","Plant Physiology","Transport","Mass flow hypothesis is associated with","Transpiration pull","Ascent of sap","Translocation of food","Guttation","C","The Munch mass flow hypothesis explains phloem translocation of organic solutes."

"bot_eco_002","Botany","Economic Botany","Timber","Plant with hardest wood is","Acacia","Dalbergia","Eucalyptus","Guaiacum","D","Guaiacum officinale produces one of the hardest known woods, called lignum vitae."

"bot_eco_003","Botany","Economic Botany","Fibres","Jute fibre is obtained from","Stem","Root","Leaf","Fruit","A","Jute fibre is obtained from the secondary phloem (bast) of the stem of Corchorus species."

"bot_phy_003","Botany","Plant Physiology","Growth","Sprouting of potato during storage is due to","Low temperature","High moisture","Breaking of dormancy","Lack of oxygen","C","Dormancy ends during storage, causing sprouting due to hormonal changes."

"bot_mic_001","Botany","Microbiology","Soil fertility","Biofertilizer is","Organic manure","Microbial culture","Compost","Green manure","B","Biofertilizers are microbial inoculants that enhance nutrient availability to plants."

"bot_eco_004","Botany","Economic Botany","Cork","Commercial cork is obtained from","Quercus suber","Salix alba","Populus nigra","Pinus roxburghii","A","Cork is harvested from the bark of Quercus suber (cork oak)."

"bot_phy_004","Botany","Plant Physiology","Respiration","Passive absorption of water occurs mainly due to","Root pressure","Osmotic pressure","Transpiration pull","Imbibition","C","Passive absorption is driven by transpiration pull through cohesion-tension."

"bot_rep_001","Botany","Reproduction","Seed formation","Apomixis involves","Asexual seed formation","Fusion of gametes","Double fertilization","Cross-pollination","A","Apomixis produces seeds without fertilization, forming clones of the parent plant."

"bot_rep_002","Botany","Reproduction","Ovule","Micropyle, funicle and chalaza in straight line — type of ovule","Orthotropous","Anatropous","Campylotropous","Amphitropous","A","In orthotropous ovules, micropyle, chalaza, and funicle lie in one straight line."

"bot_flo_002","Botany","Floral Morphology","Androecium","Anthers united, filaments free condition is found in","Malvaceae","Fabaceae","Solanaceae","Asteraceae","A","In Malvaceae, stamens are monadelphous, meaning filaments are united into a tube but anthers are free."

"bot_bry_001","Botany","Bryophytes","Reproduction","Peristome is found in","Moss","Liverwort","Pteridophyte","Algae","A","Moss capsules possess peristome teeth that help in spore dispersal."

"bot_fungi_001","Botany","Fungi","Parasitism","Fungi that require two hosts to complete their life cycle are","Obligate parasites","Heteroecious fungi","Autoecious fungi","Saprophytes","B","Heteroecious fungi like Puccinia graminis need two hosts to complete their life cycle."

"bot_phy_005","Botany","Plant Physiology","Photosynthesis","Pigment system is mainly for","Photosynthesis","Respiration","Transpiration","Fermentation","A","Pigment systems I and II in chloroplasts are responsible for capturing light during photosynthesis."

"bot_gen_002","Botany","Genetics","Mendelian Genetics","Alternative or contrasting form of a gene is","Allele","Chromosome","Locus","Trait","A","Different forms of a gene that control contrasting traits are called alleles."
"zoo_orn_002","Zoology","Ornithology","Bird anatomy","Sound box of bird is called","Syrinx","Larynx","Pharynx","Trachea","A","Birds produce sound through the syrinx, located at the junction of the trachea and bronchi."

"zoo_amp_001","Zoology","Amphibians","Anatomy","Which of the following is not found in frog","Diaphragm","Nictitating membrane","Three-chambered heart","Kidney","A","Frogs lack a diaphragm; lungs expand through buccal pumping."

"zoo_prot_002","Zoology","Protozoa","Reproduction","During conjugation in Paramecium which nucleus is not degenerated","Micronucleus","Macronucleus","Both degenerate","Neither degenerate","A","Micronucleus divides and fuses during conjugation, while the macronucleus degenerates."

"zoo_skl_004","Zoology","Skeleton","Cartilage","Gristle cartilage is found in","Ear pinna","Nose tip","Trachea","Intervertebral disc","C","Gristle refers to hyaline cartilage found in trachea and larynx."

"zoo_inv_005","Zoology","Annelida","Excretion","Nephridiopores are found in","Earthworm","Cockroach","Leech","Frog","A","Earthworm excretes waste through external nephridiopores."

"zoo_inv_006","Zoology","Annelida","Excretory system","Type of nephridia not found in earthworm","Pharyngeal","Septal","Integumentary","Flame cell","D","Flame cells are found in flatworms, not in annelids."

"zoo_orn_003","Zoology","Ornithology","Flight","Passive flight is observed in","Vulture","Crow","Sparrow","Parrot","A","Vultures glide without flapping, utilizing air currents for passive flight."

"zoo_sen_004","Zoology","Sensation","Eye","Blind spot contains","Rods only","Cones only","Both rods and cones","No rods or cones","D","Blind spot lacks photoreceptor cells, hence insensitive to light."

"zoo_sen_005","Zoology","Sensation","Ear","Organ of Corti is present in","Cochlea","Semicircular canal","Utriculus","Eustachian tube","A","The organ of Corti lies in the cochlea and contains sensory hair cells for hearing."

"zoo_chr_002","Zoology","Chordata","General features","Unusual character of Ascidian as chordate is","Notochord in larva only","Closed circulation","Presence of lungs","Presence of vertebral column","A","In Ascidia, the notochord is present only in larval stage, absent in adult."

"zoo_inv_007","Zoology","Invertebrates","Body cavity","Which phylum is acoelomate","Platyhelminthes","Annelida","Aschelminthes","Arthropoda","A","Platyhelminthes lack a true coelom and are acoelomate."

"zoo_amp_002","Zoology","Amphibians","Behavior","Earthworm hides in burrow to","Maintain moisture","Escape heat","Escape predators","All of these","D","Burrowing helps earthworm maintain moisture and avoid light, heat, and predators."

"zoo_beh_001","Zoology","Animal Behavior","Ethology","The study of animal behaviour is called","Ethology","Ecology","Taxonomy","Physiology","A","Ethology is the scientific study of animal behaviour."

"zoo_amp_003","Zoology","Amphibians","Skeleton","Typical vertebrae of frog is","Amphicoelous","Procoelous","Acoelous","Opisthocoelous","B","Frog vertebrae are procoelous, concave anteriorly and convex posteriorly."

"zoo_gen_001","Zoology","Genetics","Mutation","Genes are formed by acquiring","Mutations","Nucleotides","Chromosomes","RNA","A","Genes evolve through mutations in DNA sequences."

"zoo_evo_002","Zoology","Evolution","Darwinism","Darwin proposed which process for transmission of character","Pangenesis","Germ plasm theory","Lamarckism","Mutation theory","A","Darwin suggested pangenesis for inheritance, though later disproven."

"zoo_inv_008","Zoology","Arthropoda","Appendages","Poison claws of Chilopoda are modification of","First pair of legs","Antennae","Mandibles","Maxillae","A","In centipedes, first pair of legs forms poison claws (forcipules)."

"zoo_phy_001","Zoology","Physiology","Enzymes","Carbonic anhydrase is found in","RBC","Liver","Kidney","Muscle","A","Carbonic anhydrase in red blood cells catalyzes CO2 hydration to carbonic acid."

"zoo_phy_002","Zoology","Physiology","Liver","Liver cells are phagocytosed by Kupffer cells to produce pigment","Bilirubin","Bilirubinogen","Haematin","Melanin","A","Kupffer cells break down RBCs to release bilirubin pigment."

"zoo_ecol_001","Zoology","Ecology","Symbiosis","Sea anemone and hermit crab exhibit","Commensalism","Mutualism","Parasitism","Competition","B","Both benefit—hermit crab gains protection, anemone gains mobility."

"zoo_phy_003","Zoology","Physiology","Behavior","Animals that eat their own feces are","Coprophagous","Omnivorous","Herbivorous","Carnivorous","A","Coprophagy is practiced to recover nutrients, seen in rabbits."

"zoo_end_001","Zoology","Endocrinology","Hormones","ICSH is secreted by","Anterior pituitary","Posterior pituitary","Thyroid","Adrenal cortex","A","Interstitial cell stimulating hormone (LH in males) is secreted by anterior pituitary."

"zoo_emb_001","Zoology","Embryology","Development","Archenteron is found in which stage","Gastrula","Blastula","Morula","Zygote","A","The gastrula stage develops the archenteron or primitive gut cavity."

"zoo_rep_001","Zoology","Reproduction","Spermatogenesis","Secondary spermatocytes or spermatids are formed from","Primary spermatocyte","Spermatogonium","Sertoli cell","Germinal cell","A","Primary spermatocyte divides meiotically to form two secondary spermatocytes and then spermatids."

"zoo_gen_002","Zoology","Genetics","Chromosomal disorders","Mongolism (Down’s syndrome) is due to","Trisomy of chromosome 21","Monosomy of X","Deletion mutation","Polyploidy","A","Down’s syndrome results from trisomy of chromosome 21."

"zoo_inv_009","Zoology","Annelida","Circulation","Closed vascular system is found in","Earthworm","Cockroach","Starfish","Leech","A","Earthworm shows closed circulation with dorsal, ventral, and lateral vessels."

"chem_mag_001","Chemistry","Magnetism","Magnetic moment","Which has maximum magnetic moment","Fe2+","Mn2+","Cu2+","Zn2+","B","Mn2+ has five unpaired electrons (5 μB), giving maximum magnetic moment."

"chem_org_001","Chemistry","Organic Chemistry","Electronics","Phenol acts as o- and p-directing group because of","+M effect of −OH","−I effect of −OH","Hyperconjugation","Steric effect","A","Lone pair on oxygen participates by resonance (+M), activating ortho and para positions."

"chem_carbo_001","Chemistry","Carbohydrates","Hydrolysis","Sucrose on hydrolysis gives","Glucose and fructose","Glucose and galactose","Two glucose","Two fructose","A","Sucrose hydrolyzes to form one molecule each of glucose and fructose."

"chem_acid_001","Chemistry","Physical Chemistry","Concentration","Acetic acid 2 m, sp. gravity 1.7 g/cm³. Find molarity","2.0 M","1.7 M","3.4 M","1.2 M","C","Molarity = (m × d × 1000)/(M × 1000). For acetic acid, ≈3.4 M."

"chem_thm_001","Chemistry","Thermodynamics","Hess law","Hess’s law is associated with","Enthalpy change","Entropy change","Internal energy","Free energy","A","Hess’s law states total enthalpy change is path independent."

"chem_thm_002","Chemistry","Thermodynamics","Phase change","When ice melts at 273 K","ΔH > 0, ΔS > 0","ΔH < 0, ΔS < 0","ΔH > 0, ΔS < 0","ΔH = 0, ΔS = 0","A","Melting absorbs heat and increases disorder, both positive."

"chem_cat_001","Chemistry","Catalysis","Effect","A catalyst changes","Activation energy","Enthalpy change","Equilibrium constant","Product composition","A","A catalyst lowers activation energy without changing ΔH or K."

"chem_kin_001","Chemistry","Kinetics","Half-life","Half-life of first order reaction is","Independent of concentration","Directly proportional to concentration","Inversely proportional to concentration","Zero","A","For first-order kinetics, t½ = 0.693/k, independent of concentration."

