"BOT-PAN-ANA-242","Botany","Plant Anatomy","Application","A root absorbs water most efficiently in the","Root hair zone","Root cap zone","Zone of cell division only","Mature woody zone only","A","Root hairs increase surface area for absorption."
"BOT-PAN-ANA-243","Botany","Plant Anatomy","Application","Removal of cambium from dicot stem would mainly affect","Secondary growth","Primary root absorption","Photosynthesis only","Stomatal opening","A","Cambium is responsible for increase in girth."
"BOT-PAN-ANA-244","Botany","Plant Anatomy","Application","A leaf with stomata equally on both surfaces and parallel venation is likely","Monocot leaf","Dicot leaf","Dicot root","Dicot stem","A","Monocot leaves are often isobilateral with parallel venation."
"BOT-PAN-ANA-245","Botany","Plant Anatomy","Application","A leaf with more stomata on lower surface and reticulate venation is likely","Dicot leaf","Monocot leaf","Monocot root","Monocot stem","A","Dicot leaves are often dorsiventral and hypostomatic."
"BOT-PAN-ANA-246","Botany","Plant Anatomy","Application","Presence of protoxylem lacuna in vascular bundle indicates","Monocot stem","Dicot stem","Dicot leaf","Dicot root","A","Protoxylem lacuna is typical of monocot stem."
"BOT-PAN-ANA-247","Botany","Plant Anatomy","Application","Presence of medullary rays between vascular bundles indicates","Dicot stem","Monocot stem","Monocot leaf","Monocot root","A","Medullary rays occur between bundles in dicot stem."
"BOT-PAN-ANA-248","Botany","Plant Anatomy","Application","A student observes phloem outside, xylem inside and cambium between them. The bundle is","Open collateral","Closed collateral","Radial","Amphicribral","A","Open collateral bundle has cambium between xylem and phloem."
"BOT-PAN-ANA-249","Botany","Plant Anatomy","Application","A student observes alternate xylem and phloem patches in a section. The bundle is","Radial","Collateral","Bicollateral","Concentric","A","Radial bundles have xylem and phloem on different radii."
"BOT-PAN-ANA-250","Botany","Plant Anatomy","Application","The most correct match is","Monocot stem-scattered vascular bundles","Dicot stem-scattered vascular bundles","Monocot root-endarch xylem","Dicot leaf-bulliform cells","A","Monocot stem has scattered vascular bundles."
"id","subject","chapter","topic","question","optionA","optionB","optionC","optionD","answer","explanation"
"BOT-PHY-PHY-001","Botany","Plant Physiology","Diffusion","Diffusion is the movement of molecules from","Higher concentration to lower concentration","Lower concentration to higher concentration","Only through xylem","Only with ATP","A","Diffusion occurs down the concentration gradient."
"BOT-PHY-PHY-002","Botany","Plant Physiology","Diffusion","Diffusion is a","Active process","Passive process","Photosynthetic process","Growth hormone process","B","Diffusion does not require metabolic energy."
"BOT-PHY-PHY-003","Botany","Plant Physiology","Diffusion","The rate of diffusion increases when","Temperature decreases","Concentration gradient decreases","Concentration gradient increases","Molecules become larger","C","A steeper concentration gradient increases diffusion rate."
"BOT-PHY-PHY-004","Botany","Plant Physiology","Diffusion","Exchange of gases in leaves mainly occurs by","Osmosis","Active transport","Imbibition","Diffusion","D","CO2 and O2 move through stomata mainly by diffusion."
"BOT-PHY-PHY-005","Botany","Plant Physiology","Diffusion pressure","Diffusion pressure is highest in","Pure solvent","Concentrated solution","Plasmolysed cell only","Dead cell only","A","Pure solvent has maximum tendency of molecules to diffuse."
"BOT-PHY-PHY-006","Botany","Plant Physiology","Diffusion pressure","Adding solute to pure water","Increases diffusion pressure","Decreases diffusion pressure","Makes diffusion pressure infinite","Has no effect","B","Solute lowers the diffusion pressure of solvent."
"BOT-PHY-PHY-007","Botany","Plant Physiology","Diffusion pressure deficit","Diffusion pressure deficit is also called","Turgor pressure","Suction pressure","Wall pressure","Root pressure","B","DPD is commonly called suction pressure."
"BOT-PHY-PHY-008","Botany","Plant Physiology","Diffusion pressure deficit","DPD is calculated as","OP + TP","TP - OP","WP - OP","OP - TP","D","Diffusion pressure deficit equals osmotic pressure minus turgor pressure."
"BOT-PHY-PHY-009","Botany","Plant Physiology","Diffusion pressure deficit","In a fully turgid cell, DPD is","Zero","Maximum","Equal to OP","Equal to wall pressure only","A","In full turgidity, TP equals OP, so DPD becomes zero."
"BOT-PHY-PHY-010","Botany","Plant Physiology","Diffusion pressure deficit","In a flaccid cell, turgor pressure is","Maximum","Zero","Equal to wall pressure","Negative always","B","A flaccid cell has no turgor pressure."
"BOT-PHY-PHY-011","Botany","Plant Physiology","Osmosis","Osmosis is movement of","Solute through permeable membrane","Water through semipermeable membrane","Protein through cell wall","Gas through stomata only","B","Osmosis is diffusion of water through a semipermeable membrane."
"BOT-PHY-PHY-012","Botany","Plant Physiology","Osmosis","Water moves by osmosis from","Low water potential to high water potential","High solute concentration to low solute concentration","High water potential to low water potential","Only from soil to air","C","Water moves from higher to lower water potential."
"BOT-PHY-PHY-013","Botany","Plant Physiology","Osmosis","A solution with higher solute concentration than cell sap is","Isotonic","Hypotonic","Neutral","Hypertonic","D","Hypertonic solution has higher solute concentration."
"BOT-PHY-PHY-014","Botany","Plant Physiology","Osmosis","A plant cell placed in hypotonic solution becomes","Turgid","Plasmolysed","Dead immediately","Flaccid always","A","Water enters the cell and produces turgidity."
"BOT-PHY-PHY-015","Botany","Plant Physiology","Osmosis","A plant cell placed in hypertonic solution becomes","Turgid","Plasmolysed","Fully stretched","More rigid","B","Water leaves the cell causing plasmolysis."
"BOT-PHY-PHY-016","Botany","Plant Physiology","Osmosis","In isotonic solution, a plant cell shows","Rapid bursting","No net osmosis","Only endosmosis","Only exosmosis","B","Water enters and leaves at equal rates."
"BOT-PHY-PHY-017","Botany","Plant Physiology","Osmosis","Endosmosis means movement of water","Out of the cell","Into the cell","Only through phloem","Only into xylem vessels","B","Endosmosis is inward movement of water."
"BOT-PHY-PHY-018","Botany","Plant Physiology","Osmosis","Exosmosis means movement of water","Into the cell","Through stomata only","Out of the cell","Into chloroplast","C","Exosmosis is outward movement of water."
"BOT-PHY-PHY-019","Botany","Plant Physiology","Plasmolysis","Plasmolysis occurs when plant cell is placed in","Hypotonic solution","Pure water","Isotonic solution","Hypertonic solution","D","Hypertonic solution draws water out of the cell."
"BOT-PHY-PHY-020","Botany","Plant Physiology","Plasmolysis","During plasmolysis, protoplast","Shrinks away from cell wall","Expands fully","Bursts immediately","Forms chloroplast","A","Loss of water causes protoplast shrinkage."
"BOT-PHY-PHY-021","Botany","Plant Physiology","Plasmolysis","Incipient plasmolysis means","Cell is dead","Protoplast just begins to separate from wall","Cell bursts","Turgor pressure is maximum","B","It is the initial stage of plasmolysis."
"BOT-PHY-PHY-022","Botany","Plant Physiology","Plasmolysis","Deplasmolysis occurs when plasmolysed cell is placed in","Strong salt solution","Strong sugar solution","Pure water or hypotonic solution","Dry air","C","Water enters and restores turgidity."
"BOT-PHY-PHY-023","Botany","Plant Physiology","Osmotic pressure","Osmotic pressure increases with increase in","Solvent amount only","Cell wall thickness","Temperature decrease only","Solute concentration","D","More solute increases osmotic pressure."
"BOT-PHY-PHY-024","Botany","Plant Physiology","Osmotic pressure","Osmotic pressure is the pressure needed to","Stop osmosis","Start photosynthesis","Open stomata only","Break cell wall","A","OP is the pressure required to prevent osmosis."
"BOT-PHY-PHY-025","Botany","Plant Physiology","Osmotic potential","Osmotic potential is also called","Solute potential","Wall potential","Pressure potential","Matric potential only","A","Osmotic potential is the solute potential of water."
"BOT-PHY-PHY-026","Botany","Plant Physiology","Osmotic potential","Osmotic potential of pure water is","Positive","Zero","Highly negative","Equal to turgor pressure","B","Pure water has zero solute potential."
"BOT-PHY-PHY-027","Botany","Plant Physiology","Osmotic potential","Adding solute makes osmotic potential","More positive","Zero","More negative","Equal to wall pressure","C","Solutes lower water potential and make osmotic potential negative."
"BOT-PHY-PHY-028","Botany","Plant Physiology","Water potential","Water potential is represented by symbol","Ψw","OP","DPD","TP","A","Water potential is denoted by psi w."
"BOT-PHY-PHY-029","Botany","Plant Physiology","Water potential","Water potential of pure water at standard condition is","Zero","One","Negative","Positive infinity","A","Pure water has the highest water potential, taken as zero."
"BOT-PHY-PHY-030","Botany","Plant Physiology","Water potential","Water moves from","Lower water potential to higher water potential","Higher water potential to lower water potential","Lower OP to higher OP always","Dry soil to wet soil only","B","Water moves down the water potential gradient."
"BOT-PHY-PHY-031","Botany","Plant Physiology","Water potential","The equation for water potential is","Ψw = Ψs + Ψp","Ψw = Ψs - Ψp","Ψw = OP + DPD","Ψw = TP - WP","A","Water potential is sum of solute potential and pressure potential."
"BOT-PHY-PHY-032","Botany","Plant Physiology","Turgor pressure","Turgor pressure is pressure exerted by","Cell wall on protoplast","Cell sap on cell wall","Air on stomata","Xylem on phloem","B","Turgor pressure is due to cell contents pressing outward."
"BOT-PHY-PHY-033","Botany","Plant Physiology","Wall pressure","Wall pressure is pressure exerted by","Cell wall on protoplast","Protoplast on wall","Vacuole on nucleus","Xylem on water","A","Wall pressure opposes turgor pressure."
"BOT-PHY-PHY-034","Botany","Plant Physiology","Turgor pressure","Turgidity helps in","Loss of leaves only","Support of soft plant parts","Stopping osmosis","Destroying chlorophyll","B","Turgor maintains rigidity in herbaceous plants."
"BOT-PHY-PHY-035","Botany","Plant Physiology","Wall potential","Wall potential is related to","Pressure potential","Solute potential only","Genetic potential","Photosynthetic pigment","A","Wall pressure contributes to pressure potential."
"BOT-PHY-PHY-036","Botany","Plant Physiology","Transpiration","Transpiration is loss of water in the form of","Liquid water from hydathodes","Water vapour from aerial parts","Sap from roots","Sugar from phloem","B","Transpiration is evaporation of water from plant surface."
"BOT-PHY-PHY-037","Botany","Plant Physiology","Transpiration","Most transpiration occurs through","Cuticle","Lenticels","Stomata","Hydathodes","C","Stomatal transpiration is the major type."
"BOT-PHY-PHY-038","Botany","Plant Physiology","Transpiration","Cuticular transpiration occurs through","Stomata","Lenticels","Hydathodes","Cuticle","D","Water can evaporate through cuticle."
"BOT-PHY-PHY-039","Botany","Plant Physiology","Transpiration","Lenticular transpiration occurs through","Lenticels","Stomata","Root hairs","Xylem pits","A","Lenticels allow gaseous exchange and water loss."
"BOT-PHY-PHY-040","Botany","Plant Physiology","Transpiration","Transpiration rate increases with","High humidity","High wind speed","Closed stomata","Low temperature only","B","Wind removes moist air around leaves."
"BOT-PHY-PHY-041","Botany","Plant Physiology","Transpiration","High humidity generally","Increases transpiration","Stops photosynthesis always","Decreases transpiration","Increases guttation only","C","High humidity reduces water vapour gradient."
"BOT-PHY-PHY-042","Botany","Plant Physiology","Transpiration","A useful effect of transpiration is","Cooling of leaves","Permanent wilting only","Loss of minerals","Reduction of ascent of sap","A","Evaporation cools leaf surface."
"BOT-PHY-PHY-043","Botany","Plant Physiology","Transpiration","Excessive transpiration may cause","Guttation","Wilting","Seed germination","Root pressure","B","Excess water loss causes wilting."
"BOT-PHY-PHY-044","Botany","Plant Physiology","Transpiration","The instrument used to measure transpiration rate is","Auxanometer","Potometer","Manometer","Clinostat","B","Potometer estimates water uptake related to transpiration."
"BOT-PHY-PHY-045","Botany","Plant Physiology","Ascent of sap","Ascent of sap occurs mainly through","Xylem","Phloem","Cortex only","Epidermis","A","Water and minerals move upward through xylem."
"BOT-PHY-PHY-046","Botany","Plant Physiology","Ascent of sap","The most accepted theory of ascent of sap is","Root pressure theory","Capillarity theory","Cohesion-tension theory","Imbibition theory","C","Cohesion-tension theory explains ascent of sap in tall plants."
"BOT-PHY-PHY-047","Botany","Plant Physiology","Ascent of sap","Cohesion means attraction between","Water and xylem wall","Water molecules","Solute and solvent only","Cell wall and nucleus","B","Cohesion is attraction among water molecules."
"BOT-PHY-PHY-048","Botany","Plant Physiology","Ascent of sap","Adhesion means attraction between","Water molecules only","Xylem vessels only","Water and xylem wall","Phloem and sugar","C","Adhesion helps water stick to xylem walls."
"BOT-PHY-PHY-049","Botany","Plant Physiology","Ascent of sap","Transpiration pull is generated due to","Evaporation from leaves","Root hair formation","Photosynthesis in roots","Sugar transport","A","Water loss from leaves creates negative pressure."
"BOT-PHY-PHY-050","Botany","Plant Physiology","Ascent of sap","Root pressure is maximum when","Soil is dry and transpiration high","Soil is moist and transpiration low","Stomata are fully open at noon","No water is absorbed","B","Root pressure is prominent when water absorption exceeds transpiration."
"BOT-PHY-PHY-051","Botany","Plant Physiology","Absorption","Water absorption in roots occurs mainly through","Root hairs","Root cap","Stem epidermis","Leaf cuticle","A","Root hairs provide large surface for water absorption."
"BOT-PHY-PHY-052","Botany","Plant Physiology","Absorption","Passive absorption of water is mainly due to","Transpiration pull","ATP from root cells","Photosynthesis","Guttation","A","Transpiration creates suction that pulls water upward."
"BOT-PHY-PHY-053","Botany","Plant Physiology","Absorption","Active absorption of water requires","ATP energy","No metabolic energy","Only wind","Only stomatal opening","A","Active absorption depends on metabolic activity of root cells."
"BOT-PHY-PHY-054","Botany","Plant Physiology","Absorption","Mineral absorption often occurs by","Only diffusion always","Only transpiration","Active transport","Only guttation","C","Mineral ions may be absorbed against gradient using energy."
"BOT-PHY-PHY-055","Botany","Plant Physiology","Absorption","The apoplastic pathway involves movement through","Cytoplasm","Plasmodesmata only","Cell walls and intercellular spaces","Vacuoles only","C","Apoplast includes cell walls and spaces outside plasma membrane."
"BOT-PHY-PHY-056","Botany","Plant Physiology","Absorption","The symplastic pathway involves movement through","Cell walls only","Cytoplasm connected by plasmodesmata","Xylem vessels only","Intercellular spaces only","B","Symplast is continuous cytoplasm through plasmodesmata."
"BOT-PHY-PHY-057","Botany","Plant Physiology","Imbibition","Imbibition is absorption of water by","Hydrophilic colloids","Only living roots","Stomata only","Xylem vessels only","A","Dry colloidal substances absorb water and swell."
"BOT-PHY-PHY-058","Botany","Plant Physiology","Imbibition","Swelling of dry seeds in water is due to","Diffusion","Osmosis only","Imbibition","Transpiration","C","Seeds contain colloids that imbibe water."
"BOT-PHY-PHY-059","Botany","Plant Physiology","Imbibition","Imbibition pressure can be very","Low","High","Absent","Negative only","B","Imbibition can generate high pressure."
"BOT-PHY-PHY-060","Botany","Plant Physiology","Guttation","Guttation is loss of water as","Vapour through stomata","Liquid droplets through hydathodes","Sap through phloem","Gas through lenticels","B","Guttation occurs through hydathodes as liquid water."
"BOT-PHY-PHY-061","Botany","Plant Physiology","Guttation","Guttation is mainly caused by","Root pressure","Transpiration pull only","Photosynthesis","Seed dormancy","A","Positive root pressure forces water out."
"BOT-PHY-PHY-062","Botany","Plant Physiology","Guttation","Hydathodes are found mainly at","Leaf margins and tips","Root cap","Stem pith","Cambium","A","Hydathodes are water pores at leaf margins or tips."
"BOT-PHY-PHY-063","Botany","Plant Physiology","Guttation","Guttation commonly occurs during","Hot dry afternoon","Night or early morning","Strong wind only","Severe drought","B","It occurs when transpiration is low and root pressure is high."
"BOT-PHY-PHY-064","Botany","Plant Physiology","Wilting","Wilting occurs due to","Loss of turgor","Increase of turgor","Excess photosynthesis","More cell division","A","Water loss lowers turgor pressure."
"BOT-PHY-PHY-065","Botany","Plant Physiology","Wilting","Temporary wilting can recover when","Water supply improves","Cell dies completely","Chloroplast disappears","Xylem is removed","A","Temporary wilting is reversible."
"BOT-PHY-PHY-066","Botany","Plant Physiology","Wilting","Permanent wilting occurs when plant","Cannot regain turgor even after water supply","Opens stomata","Shows guttation","Forms seeds","A","Permanent wilting indicates severe irreversible water loss."
"BOT-PHY-PHY-067","Botany","Plant Physiology","Water relations","DPD is highest in a cell that is","Fully turgid","Plasmolysed","Photosynthetic","Dividing only","B","Plasmolysed or flaccid cells have high suction pressure."
"BOT-PHY-PHY-068","Botany","Plant Physiology","Water relations","When OP is 10 atm and TP is 6 atm, DPD is","16 atm","10 atm","6 atm","4 atm","D","DPD = OP - TP = 10 - 6 = 4 atm."
"BOT-PHY-PHY-069","Botany","Plant Physiology","Water relations","A fully turgid cell has","OP equal to TP","OP zero","TP zero","DPD maximum","A","In full turgidity, OP is balanced by TP."
"BOT-PHY-PHY-070","Botany","Plant Physiology","Water relations","The correct match is","Osmosis-water movement through semipermeable membrane","Diffusion-water only through xylem","Guttation-water vapour loss","Transpiration-liquid water loss","A","Osmosis is water movement across semipermeable membrane."
"BOT-PHY-PHY-071","Botany","Plant Physiology","Photosynthesis","Photosynthesis converts light energy into","Mechanical energy","Chemical energy","Sound energy","Heat only","B","Photosynthesis stores light energy as chemical energy."
"BOT-PHY-PHY-072","Botany","Plant Physiology","Photosynthesis","The main raw materials of photosynthesis are","CO2 and water","Oxygen and glucose","Nitrogen and oxygen","Protein and lipid","A","Plants use carbon dioxide and water."
"BOT-PHY-PHY-073","Botany","Plant Physiology","Photosynthesis","The gas released during oxygenic photosynthesis is","Carbon dioxide","Nitrogen","Oxygen","Hydrogen","C","Water splitting releases oxygen."
"BOT-PHY-PHY-074","Botany","Plant Physiology","Photosynthesis","The site of photosynthesis in higher plants is","Mitochondria","Ribosome","Nucleus","Chloroplast","D","Chloroplast contains pigments and enzymes for photosynthesis."
"BOT-PHY-PHY-075","Botany","Plant Physiology","Photosynthesis","The significance of photosynthesis is that it","Produces organic food and oxygen","Consumes all oxygen","Stops carbon cycle","Destroys chlorophyll","A","Photosynthesis supports food chains and oxygen supply."
"BOT-PHY-PHY-076","Botany","Plant Physiology","Photosynthetic pigments","The chief photosynthetic pigment is","Carotene","Chlorophyll a","Xanthophyll","Anthocyanin","B","Chlorophyll a is the primary pigment."
"BOT-PHY-PHY-077","Botany","Plant Physiology","Photosynthetic pigments","Accessory pigments help by","Destroying chlorophyll","Absorbing extra wavelengths and transferring energy","Stopping light reaction","Absorbing only water","B","Accessory pigments broaden light absorption."
"BOT-PHY-PHY-078","Botany","Plant Physiology","Photosynthetic pigments","Carotenoids include","Carotene and xanthophyll","Chlorophyll a and b","ATP and NADPH","RuBP and PGA","A","Carotenes and xanthophylls are carotenoids."
"BOT-PHY-PHY-079","Botany","Plant Physiology","Photosynthetic pigments","Chlorophyll mainly absorbs light in","Green region only","Blue and red regions","Infrared only","Ultraviolet only","B","Chlorophyll absorbs blue and red light strongly."
"BOT-PHY-PHY-080","Botany","Plant Physiology","Photosynthetic pigments","Leaves appear green because chlorophyll","Absorbs green light strongly","Reflects green light","Converts green light to heat only","Destroys green light","B","Green light is mostly reflected."
"BOT-PHY-PHY-081","Botany","Plant Physiology","Photosystem","Photosystem I has reaction center","P680","P700","P600","P450","B","PS I reaction center is P700."
"BOT-PHY-PHY-082","Botany","Plant Physiology","Photosystem","Photosystem II has reaction center","P700","P680","P450","P520","B","PS II reaction center is P680."
"BOT-PHY-PHY-083","Botany","Plant Physiology","Photosystem","Photosystem II is mainly associated with","Water splitting","CO2 fixation only","Glucose breakdown","Krebs cycle","A","PS II oxidizes water and releases oxygen."
"BOT-PHY-PHY-084","Botany","Plant Physiology","Photosystem","The oxygen-evolving complex contains","Iron","Magnesium only","Manganese","Copper only","C","Manganese cluster is involved in photolysis of water."
"BOT-PHY-PHY-085","Botany","Plant Physiology","Light reaction","Light-dependent reactions occur in","Stroma","Thylakoid membrane","Mitochondrial matrix","Cytosol","B","Photosystems are located in thylakoid membranes."
"BOT-PHY-PHY-086","Botany","Plant Physiology","Light reaction","Products of light reaction are","ATP and NADPH","Glucose and RuBP","CO2 and water","Pyruvate and ethanol","A","Light reaction forms ATP and NADPH."
"BOT-PHY-PHY-087","Botany","Plant Physiology","Light reaction","Photolysis means splitting of","CO2","Water","Glucose","ATP","B","Photolysis is light-driven splitting of water."
"BOT-PHY-PHY-088","Botany","Plant Physiology","Light reaction","Non-cyclic photophosphorylation involves","Only PS I","Both PS I and PS II","Only Calvin cycle","Only respiration","B","Non-cyclic flow uses both photosystems."
"BOT-PHY-PHY-089","Botany","Plant Physiology","Light reaction","Cyclic photophosphorylation produces mainly","ATP only","NADPH only","Oxygen only","Glucose only","A","Cyclic electron flow produces ATP but not NADPH or O2."
"BOT-PHY-PHY-090","Botany","Plant Physiology","Light reaction","Final electron acceptor in non-cyclic electron transport is","NADP+","Oxygen","Water","RuBP","A","NADP+ is reduced to NADPH."
"BOT-PHY-PHY-091","Botany","Plant Physiology","Calvin cycle","Calvin cycle occurs in","Thylakoid lumen","Stroma of chloroplast","Cristae","Cytoplasm only","B","Dark reaction occurs in chloroplast stroma."
"BOT-PHY-PHY-092","Botany","Plant Physiology","Calvin cycle","The first stable product of C3 cycle is","PGA","OAA","PEP","RuBP","A","3-phosphoglyceric acid is the first stable product."
"BOT-PHY-PHY-093","Botany","Plant Physiology","Calvin cycle","The CO2 acceptor in Calvin cycle is","PEP","RuBP","OAA","Pyruvate","B","RuBP accepts CO2 in C3 plants."
"BOT-PHY-PHY-094","Botany","Plant Physiology","Calvin cycle","The enzyme fixing CO2 in C3 cycle is","PEP carboxylase","RuBisCO","ATP synthase","Nitrogenase","B","RuBisCO catalyzes carboxylation of RuBP."
"BOT-PHY-PHY-095","Botany","Plant Physiology","Calvin cycle","Calvin cycle requires","ATP and NADPH","Oxygen and ethanol","Pyruvate and acetyl CoA","FADH2 only","A","ATP and NADPH from light reaction drive CO2 reduction."
"BOT-PHY-PHY-096","Botany","Plant Physiology","Calvin cycle","Regeneration phase of Calvin cycle regenerates","RuBP","PEP","Oxygen","Acetyl CoA","A","RuBP must be regenerated for cycle continuation."
"BOT-PHY-PHY-097","Botany","Plant Physiology","Calvin cycle","For fixation of one CO2, Calvin cycle uses","3 ATP and 2 NADPH approximately","1 ATP only","6 ATP and no NADPH","No energy","A","One CO2 fixation needs about 3 ATP and 2 NADPH."
"BOT-PHY-PHY-098","Botany","Plant Physiology","Calvin cycle","To form one glucose, Calvin cycle fixes","One CO2","Three CO2","Six CO2","Twelve CO2","C","One glucose has six carbon atoms."
"BOT-PHY-PHY-099","Botany","Plant Physiology","C4 cycle","The first stable product of C4 pathway is","3-PGA","Oxaloacetic acid","RuBP","Glycolate","B","OAA is the first stable C4 acid."
"BOT-PHY-PHY-100","Botany","Plant Physiology","C4 cycle","The primary CO2 acceptor in C4 plants is","RuBP","PEP","PGA","NADPH","B","PEP accepts CO2 in mesophyll cells."
"BOT-PHY-PHY-101","Botany","Plant Physiology","C4 cycle","The enzyme fixing CO2 first in C4 pathway is","RuBisCO","PEP carboxylase","Amylase","Nitrogenase","B","PEP carboxylase forms oxaloacetate."
"BOT-PHY-PHY-102","Botany","Plant Physiology","C4 cycle","C4 plants show","Kranz anatomy","No vascular bundles","No chloroplasts","Only CAM anatomy","A","Kranz anatomy is characteristic of C4 plants."
"BOT-PHY-PHY-103","Botany","Plant Physiology","C4 cycle","Kranz anatomy means prominent chloroplast-containing","Root hairs","Bundle sheath cells","Xylem vessels","Epidermal cells only","B","Bundle sheath cells form a wreath-like arrangement."
"BOT-PHY-PHY-104","Botany","Plant Physiology","C4 cycle","An example of C4 plant is","Wheat","Rice","Maize","Pea","C","Maize is a C4 plant."
"BOT-PHY-PHY-105","Botany","Plant Physiology","C4 cycle","C4 plants are efficient under","High light and high temperature","Low light only","No CO2","Freezing temperature only","A","C4 plants are adapted to hot, high-light conditions."
"BOT-PHY-PHY-106","Botany","Plant Physiology","C4 cycle","In C4 plants, Calvin cycle occurs mainly in","Mesophyll cells","Bundle sheath cells","Epidermal cells","Xylem vessels","B","CO2 is released and fixed by RuBisCO in bundle sheath."
"BOT-PHY-PHY-107","Botany","Plant Physiology","Photorespiration","Photorespiration occurs due to oxygenase activity of","PEP carboxylase","RuBisCO","ATP synthase","DNA polymerase","B","RuBisCO can bind oxygen and start photorespiration."
"BOT-PHY-PHY-108","Botany","Plant Physiology","Photorespiration","Photorespiration is high in","C3 plants","C4 plants only","CAM plants only","Bacteria only","A","C3 plants show more photorespiration."
"BOT-PHY-PHY-109","Botany","Plant Physiology","Photorespiration","Photorespiration is wasteful because it","Releases CO2 without producing sugar","Produces much ATP","Fixes more carbon","Produces oxygen","A","It reduces photosynthetic efficiency."
"BOT-PHY-PHY-110","Botany","Plant Physiology","Photorespiration","Photorespiration involves chloroplast, peroxisome and","Mitochondrion","Golgi body","Nucleus only","Lysosome","A","Photorespiration occurs across these three organelles."
"BOT-PHY-PHY-111","Botany","Plant Physiology","Photosynthesis factors","A limiting factor is the factor that","Is present in least favorable amount","Is always absent","Never affects rate","Only increases respiration","A","The factor in shortest supply limits photosynthesis."
"BOT-PHY-PHY-112","Botany","Plant Physiology","Photosynthesis factors","Blackman's law is related to","Limiting factors","Osmosis","Seed dormancy","Imbibition only","A","Blackman proposed law of limiting factors."
"BOT-PHY-PHY-113","Botany","Plant Physiology","Photosynthesis factors","Photosynthesis rate increases with light intensity up to","Compensation point only","Saturation point","Wilting point","Permanent point","B","After saturation, other factors become limiting."
"BOT-PHY-PHY-114","Botany","Plant Physiology","Photosynthesis factors","CO2 concentration is a limiting factor because it is needed for","Light absorption","Carbon fixation","Photolysis","Oxygen release only","B","CO2 is substrate of Calvin cycle."
"BOT-PHY-PHY-115","Botany","Plant Physiology","Photosynthesis factors","Very high temperature decreases photosynthesis by","Denaturing enzymes","Increasing chlorophyll always","Opening all stomata permanently","Increasing RuBP only","A","Photosynthetic enzymes are heat-sensitive."
"BOT-PHY-PHY-116","Botany","Plant Physiology","Photosynthesis factors","Water deficit reduces photosynthesis mainly by","Closing stomata","Increasing CO2 entry","Increasing chlorophyll always","Stopping respiration only","A","Stomatal closure limits CO2 uptake."
"BOT-PHY-PHY-117","Botany","Plant Physiology","Photosynthesis factors","The compensation point is when photosynthesis rate equals","Transpiration rate","Respiration rate","Guttation rate","Absorption rate","B","At compensation point, CO2 uptake equals CO2 release."
"BOT-PHY-PHY-118","Botany","Plant Physiology","Bacterial photosynthesis","Bacterial photosynthesis may be","Oxygenic only","Anoxygenic","Absent in all bacteria","Only mitochondrial","B","Many photosynthetic bacteria do not release oxygen."
"BOT-PHY-PHY-119","Botany","Plant Physiology","Bacterial photosynthesis","Purple sulfur bacteria commonly use","Water as electron donor","Hydrogen sulfide as electron donor","Oxygen as carbon source","Glucose as pigment","B","H2S may replace water as electron donor."
"BOT-PHY-PHY-120","Botany","Plant Physiology","Bacterial photosynthesis","Pigment in many photosynthetic bacteria is","Chlorophyll b","Bacteriochlorophyll","Fucoxanthin","Phycoerythrin only","B","Photosynthetic bacteria contain bacteriochlorophyll."
"BOT-PHY-PHY-121","Botany","Plant Physiology","Photosynthesis","Which pair is correctly matched?","PS I-P700","PS I-P680","PS II-P700","Calvin cycle-thylakoid","A","Photosystem I has P700 reaction center."
"BOT-PHY-PHY-122","Botany","Plant Physiology","Photosynthesis","Which pair is correctly matched?","PS II-P680","PS II-P700","C4-RuBP first acceptor","C3-OAA first product","A","Photosystem II has P680."
"BOT-PHY-PHY-123","Botany","Plant Physiology","Photosynthesis","Which pair is correctly matched?","C3 cycle-PGA","C4 cycle-PGA first product","Photorespiration-ATP gain","Bacterial photosynthesis-always oxygenic","A","PGA is first stable product of C3 cycle."
"BOT-PHY-PHY-124","Botany","Plant Physiology","Photosynthesis","Which pair is correctly matched?","C4 cycle-OAA","C3 cycle-OAA","Calvin cycle-mitochondria","Light reaction-stroma only","A","Oxaloacetic acid is first stable product of C4 pathway."
"BOT-PHY-PHY-125","Botany","Plant Physiology","Photosynthesis","Which pair is correctly matched?","RuBisCO-C3 fixation","PEP carboxylase-C3 first fixation","ATP synthase-CO2 acceptor","Chlorophyll-respiration pigment only","A","RuBisCO fixes CO2 in Calvin cycle."
"BOT-PHY-PHY-126","Botany","Plant Physiology","Photosynthesis","Which pair is correctly matched?","PEP carboxylase-C4 first fixation","RuBisCO-anaerobic respiration","Chlorophyll a-accessory only","NADPH-oxygen donor","A","PEP carboxylase initially fixes CO2 in C4 plants."
"BOT-PHY-PHY-127","Botany","Plant Physiology","Photosynthesis","C4 pathway reduces photorespiration by","Concentrating CO2 around RuBisCO","Removing chloroplasts","Stopping Calvin cycle","Increasing oxygen near RuBisCO","A","High CO2 in bundle sheath suppresses oxygenase activity."
"BOT-PHY-PHY-128","Botany","Plant Physiology","Photosynthesis","The correct sequence of photosynthesis is","Light reaction then carbon fixation","Krebs cycle then glycolysis","Calvin cycle then oxidative decarboxylation","Glycolysis then photolysis","A","Light reaction supplies ATP and NADPH for carbon fixation."
